po_id,supplier_id,item_id,order_date,expected_delivery_date,actual_delivery_date,order_quantity,unit_cost,total_purchase_cost,po_status
PO00643,SUP013,ITM10790,10/5/24,10/9/24,,425,45.01,19129.25,Open
PO00644,SUP010,ITM10392,1/22/24,1/25/24,,501,82.17,41167.17,Open
PO00645,SUP013,ITM12708,8/5/24,8/8/24,8/11/24,819,25.59,20958.21,Delivered
PO00646,SUP001,ITM10428,1/17/24,1/26/24,1/26/24,932,16.22,15117.04,Delivered
PO00647,SUP003,ITM11789,8/12/24,8/20/24,,170,53.65,9120.5,Open
PO00648,SUP010,ITM10528,5/1/24,5/8/24,5/11/24,652,89.05,58060.6,Delivered
PO00649,SUP014,ITM10058,12/29/24,1/5/25,1/6/25,219,58.15,12734.85,Delivered
PO00650,SUP001,ITM10059,4/15/24,4/22/24,,874,85.1,74377.4,Open
PO00651,SUP012,ITM11224,6/28/24,7/4/24,7/6/24,601,77.28,46445.28,Delivered
PO00652,SUP002,ITM12878,12/26/24,12/30/24,1/1/25,323,77.2,24935.6,Delivered
PO00653,SUP011,ITM11006,9/20/24,9/22/24,,745,62.35,46450.75,Cancelled
PO00654,SUP015,ITM11184,3/10/24,3/19/24,3/29/24,990,32.73,32402.7,Delayed
PO00655,SUP015,ITM12125,5/21/24,5/26/24,,179,14.01,2507.79,Open
PO00656,SUP010,ITM10002,3/8/24,3/16/24,3/19/24,379,41.39,15686.81,Delivered
PO00657,SUP004,ITM12693,12/12/24,12/20/24,12/19/24,641,117.91,75580.31,Delivered
PO00658,SUP003,ITM12264,11/17/24,11/26/24,11/27/24,127,80.32,10200.64,Delivered
PO00659,SUP004,ITM12244,2/17/24,2/19/24,2/22/24,334,121.39,40544.26,Delivered
PO00660,SUP015,ITM10671,7/7/24,7/13/24,7/14/24,385,25.98,10002.3,Delivered
PO00661,SUP012,ITM10149,2/17/24,2/24/24,2/25/24,700,119.2,83440,Delivered
PO00662,SUP001,ITM12117,7/2/24,7/8/24,,864,140.8,121651.2,Open
PO00663,SUP011,ITM10615,4/21/24,4/28/24,5/5/24,556,30.21,16796.76,Delayed
PO00664,SUP013,ITM11804,5/25/24,6/3/24,6/5/24,183,22.07,4038.81,Delivered
PO00665,SUP007,ITM12449,9/5/24,9/11/24,,965,64.33,62078.45,Open
PO00666,SUP009,ITM10127,1/25/24,2/1/24,2/4/24,852,105.49,89877.48,Delivered
PO00667,SUP007,ITM12180,1/9/24,1/17/24,1/16/24,501,18.4,9218.4,Delivered
PO00668,SUP014,ITM10083,8/7/24,8/9/24,8/12/24,981,22.3,21876.3,Delivered
PO00669,SUP007,ITM11146,11/28/24,12/6/24,12/6/24,145,43.1,6249.5,Delivered
PO00670,SUP007,ITM10550,5/8/24,5/15/24,5/18/24,975,126.58,123415.5,Delivered
PO00671,SUP008,ITM10829,1/27/24,2/5/24,2/5/24,793,38.74,30720.82,Delivered
PO00672,SUP005,ITM12094,4/29/24,5/4/24,5/2/24,770,115.82,89181.4,Delivered
PO00673,SUP001,ITM11315,4/19/24,4/28/24,4/27/24,657,42.5,27922.5,Delivered
PO00674,SUP010,ITM11819,12/14/24,12/21/24,12/19/24,762,31.44,23957.28,Delivered
PO00675,SUP015,ITM10032,3/2/24,3/9/24,,482,55.84,26914.88,Cancelled
PO00676,SUP004,ITM10217,9/1/24,9/5/24,9/6/24,141,144.07,20313.87,Delivered
PO00677,SUP008,ITM11635,2/22/24,3/1/24,3/1/24,952,50.51,48085.52,Delivered
PO00678,SUP014,ITM11688,7/14/24,7/23/24,,821,54.74,44941.54,Open
PO00679,SUP008,ITM11298,11/24/24,11/27/24,,196,6.36,1246.56,Cancelled
PO00680,SUP013,ITM11712,10/15/24,10/17/24,10/20/24,218,55.92,12190.56,Delivered
PO00681,SUP008,ITM13134,4/19/24,4/21/24,4/20/24,991,75.52,74840.32,Delivered
PO00682,SUP007,ITM12814,12/17/24,12/24/24,12/23/24,138,117.33,16191.54,Delivered
PO00683,SUP011,ITM11310,3/12/24,3/21/24,,653,99.77,65149.81,Open
PO00684,SUP009,ITM11776,6/28/24,7/1/24,7/10/24,860,87.32,75095.2,Delayed
PO00685,SUP006,ITM12650,5/21/24,5/25/24,5/24/24,616,95.41,58772.56,Delivered
PO00686,SUP012,ITM10439,11/7/24,11/15/24,11/18/24,77,39.25,3022.25,Delivered
PO00687,SUP007,ITM11961,12/3/24,12/6/24,12/13/24,580,26.89,15596.2,Delayed
PO00688,SUP005,ITM12143,4/6/24,4/12/24,4/12/24,711,19.7,14006.7,Delivered
PO00689,SUP001,ITM11010,5/2/24,5/11/24,5/9/24,296,123.96,36692.16,Delivered
PO00690,SUP014,ITM12470,10/31/24,11/7/24,11/5/24,419,83.12,34827.28,Delivered
PO00691,SUP008,ITM10912,3/8/24,3/13/24,3/15/24,480,30.54,14659.2,Delivered
PO00692,SUP003,ITM12139,12/15/24,12/21/24,12/22/24,838,102.42,85827.96,Delivered
PO00693,SUP011,ITM10341,10/27/24,11/2/24,11/2/24,270,25.21,6806.7,Delivered
PO00694,SUP007,ITM11213,1/31/24,2/5/24,2/15/24,568,83.31,47320.08,Delayed
PO00695,SUP004,ITM11759,12/30/24,1/5/25,1/6/25,483,81.93,39572.19,Delivered
PO00696,SUP010,ITM11145,2/12/24,2/17/24,2/19/24,680,106.98,72746.4,Delivered
PO00697,SUP004,ITM10924,2/12/24,2/15/24,2/17/24,993,97.11,96430.23,Delivered
PO00698,SUP015,ITM12463,3/20/24,3/29/24,3/30/24,650,45.89,29828.5,Delivered
PO00699,SUP003,ITM12413,11/28/24,12/7/24,12/5/24,367,69.81,25620.27,Delivered
PO00700,SUP015,ITM10022,5/2/24,5/4/24,5/2/24,996,125.21,124709.16,Delivered
PO00701,SUP006,ITM12361,8/20/24,8/27/24,8/25/24,366,108.13,39575.58,Delivered
PO00702,SUP010,ITM11674,12/2/24,12/7/24,12/5/24,62,119.17,7388.54,Delivered
PO00703,SUP011,ITM10774,12/25/24,1/1/25,1/2/25,405,139.54,56513.7,Delivered
PO00704,SUP009,ITM12152,5/12/24,5/19/24,5/18/24,817,121.86,99559.62,Delivered
PO00705,SUP004,ITM11246,5/17/24,5/23/24,5/21/24,839,98.12,82322.68,Delivered
PO00706,SUP006,ITM12089,6/20/24,6/26/24,,328,118.3,38802.4,Open
PO00707,SUP001,ITM13042,5/14/24,5/17/24,5/19/24,692,106.04,73379.68,Delivered
PO00708,SUP004,ITM12765,8/21/24,8/26/24,8/24/24,561,112.43,63073.23,Delivered
PO00709,SUP007,ITM11887,3/26/24,4/4/24,4/4/24,841,7.02,5903.82,Delivered
PO00710,SUP002,ITM10954,10/20/24,10/26/24,10/24/24,283,114.35,32361.05,Delivered
PO00711,SUP009,ITM10564,1/2/24,1/10/24,1/8/24,300,53.05,15915,Delivered
PO00712,SUP010,ITM11600,7/5/24,7/8/24,7/7/24,233,148.26,34544.58,Delivered
PO00713,SUP015,ITM10344,1/19/24,1/21/24,1/24/24,808,140.82,113782.56,Delivered
PO00714,SUP006,ITM11095,4/24/24,4/29/24,4/30/24,987,59.35,58578.45,Delivered
PO00715,SUP005,ITM10750,5/18/24,5/27/24,,635,15.83,10052.05,Open
PO00716,SUP005,ITM12543,9/14/24,9/22/24,9/20/24,233,106.02,24702.66,Delivered
PO00717,SUP009,ITM11864,9/21/24,9/27/24,,460,81.65,37559,Cancelled
PO00718,SUP010,ITM11059,8/26/24,8/30/24,,842,118.24,99558.08,Open
PO00719,SUP002,ITM12832,6/16/24,6/21/24,6/22/24,58,64.91,3764.78,Delivered
PO00720,SUP006,ITM12102,5/29/24,6/3/24,6/3/24,807,19.92,16075.44,Delivered
PO00721,SUP009,ITM10313,8/25/24,9/2/24,9/3/24,841,84.52,71081.32,Delivered
PO00722,SUP006,ITM12311,10/6/24,10/12/24,,301,37.53,11296.53,Open
PO00723,SUP003,ITM11162,7/28/24,8/2/24,8/4/24,404,122.09,49324.36,Delivered
PO00724,SUP007,ITM12149,12/21/24,12/26/24,1/4/25,51,73.86,3766.86,Delayed
PO00725,SUP007,ITM12998,7/11/24,7/15/24,,794,21.11,16761.34,Open
PO00726,SUP007,ITM10568,4/15/24,4/19/24,4/18/24,479,48.22,23097.38,Delivered
PO00727,SUP015,ITM10137,1/31/24,2/4/24,,195,125.84,24538.8,Cancelled
PO00728,SUP014,ITM12655,2/17/24,2/19/24,2/18/24,968,126.12,122084.16,Delivered
PO00729,SUP005,ITM11174,7/30/24,8/3/24,8/3/24,519,65.16,33818.04,Delivered
PO00730,SUP004,ITM11246,2/13/24,2/19/24,2/21/24,186,91.51,17020.86,Delivered
PO00731,SUP005,ITM11131,7/20/24,7/26/24,7/28/24,113,113.99,12880.87,Delivered
PO00732,SUP007,ITM10810,3/7/24,3/15/24,3/15/24,921,101.96,93905.16,Delivered
PO00733,SUP015,ITM10484,7/20/24,7/22/24,7/25/24,384,86.02,33031.68,Delivered
PO00734,SUP002,ITM12832,5/19/24,5/24/24,5/23/24,189,72.83,13764.87,Delivered
PO00735,SUP003,ITM10630,10/26/24,10/31/24,10/29/24,218,36.76,8013.68,Delivered
PO00736,SUP010,ITM10041,6/9/24,6/13/24,6/15/24,416,108.39,45090.24,Delivered
PO00737,SUP008,ITM11621,4/16/24,4/25/24,4/26/24,321,124.96,40112.16,Delivered
PO00738,SUP002,ITM11065,2/16/24,2/18/24,2/21/24,361,50.62,18273.82,Delivered
PO00739,SUP002,ITM13188,12/22/24,12/25/24,12/24/24,905,114.69,103794.45,Delivered
PO00740,SUP010,ITM12744,3/16/24,3/22/24,3/21/24,414,121.47,50288.58,Delivered
PO00741,SUP001,ITM12547,1/26/24,2/3/24,2/3/24,889,94.14,83690.46,Delivered
PO00742,SUP003,ITM12243,1/16/24,1/23/24,2/3/24,619,36.18,22395.42,Delayed
PO00743,SUP014,ITM12652,5/7/24,5/11/24,5/9/24,873,102.83,89770.59,Delivered
PO00744,SUP003,ITM10433,3/3/24,3/5/24,3/4/24,183,84.71,15501.93,Delivered
PO00745,SUP002,ITM11486,7/24/24,7/27/24,7/30/24,710,103.94,73797.4,Delivered
PO00746,SUP007,ITM12396,10/27/24,11/1/24,10/30/24,72,117.44,8455.68,Delivered
PO00747,SUP012,ITM12539,4/11/24,4/16/24,4/27/24,878,31.21,27402.38,Delayed
PO00748,SUP007,ITM12719,6/18/24,6/25/24,6/26/24,101,35.44,3579.44,Delivered
PO00749,SUP007,ITM11474,10/20/24,10/26/24,10/29/24,454,35.19,15976.26,Delivered
PO00750,SUP012,ITM10549,7/14/24,7/22/24,7/21/24,412,67.43,27781.16,Delivered
PO00751,SUP002,ITM12980,4/5/24,4/14/24,4/15/24,954,123.17,117504.18,Delivered
PO00752,SUP009,ITM11745,11/10/24,11/14/24,11/13/24,712,16.5,11748,Delivered
PO00753,SUP004,ITM10830,7/29/24,8/7/24,8/18/24,112,76.94,8617.28,Delayed
PO00754,SUP002,ITM10678,7/15/24,7/22/24,7/21/24,708,110.91,78524.28,Delivered
PO00755,SUP014,ITM12460,9/26/24,10/3/24,10/5/24,863,114.01,98390.63,Delivered
PO00756,SUP015,ITM10811,7/14/24,7/17/24,,417,59.79,24932.43,Open
PO00757,SUP004,ITM12689,9/5/24,9/14/24,9/16/24,564,40.74,22977.36,Delivered
PO00758,SUP006,ITM10286,5/18/24,5/25/24,5/25/24,661,81.07,53587.27,Delivered
PO00759,SUP003,ITM10704,5/23/24,5/28/24,5/29/24,592,106.36,62965.12,Delivered
PO00760,SUP003,ITM12351,10/26/24,11/3/24,,213,59.11,12590.43,Cancelled
PO00761,SUP006,ITM10515,12/2/24,12/11/24,12/13/24,885,61.04,54020.4,Delivered
PO00762,SUP003,ITM11807,1/29/24,1/31/24,,274,114.48,31367.52,Open
PO00763,SUP004,ITM10508,7/17/24,7/24/24,7/23/24,230,69.88,16072.4,Delivered
PO00764,SUP002,ITM11064,6/11/24,6/14/24,,764,120.98,92428.72,Open
PO00765,SUP004,ITM11191,10/29/24,11/4/24,11/7/24,410,88.7,36367,Delivered
PO00766,SUP008,ITM12658,10/15/24,10/19/24,10/18/24,906,12.59,11406.54,Delivered
PO00767,SUP006,ITM10948,9/9/24,9/14/24,9/13/24,552,15.28,8434.56,Delivered
PO00768,SUP003,ITM11520,1/29/24,2/5/24,2/4/24,70,17.79,1245.3,Delivered
PO00769,SUP005,ITM10331,1/1/24,1/10/24,1/12/24,256,10.16,2600.96,Delivered
PO00770,SUP007,ITM11474,6/23/24,6/29/24,6/29/24,110,30.41,3345.1,Delivered
PO00771,SUP008,ITM10253,10/27/24,11/5/24,11/4/24,842,94.72,79754.24,Delivered
PO00772,SUP013,ITM11699,9/26/24,10/2/24,,124,27.22,3375.28,Open
PO00773,SUP001,ITM10864,12/5/24,12/8/24,12/6/24,394,74.07,29183.58,Delivered
PO00774,SUP002,ITM11134,3/10/24,3/18/24,,799,58.35,46621.65,Cancelled
PO00775,SUP003,ITM11050,11/23/24,11/30/24,12/14/24,374,84.62,31647.88,Delayed
PO00776,SUP011,ITM11125,10/14/24,10/20/24,10/22/24,855,12.33,10542.15,Delivered
PO00777,SUP010,ITM10950,12/6/24,12/11/24,12/10/24,437,68.22,29812.14,Delivered
PO00778,SUP001,ITM10867,12/18/24,12/26/24,12/25/24,796,88.56,70493.76,Delivered
PO00779,SUP012,ITM10697,12/25/24,1/1/25,1/11/25,921,28.12,25898.52,Delayed
PO00780,SUP003,ITM11872,10/17/24,10/20/24,10/22/24,375,18.2,6825,Delivered
PO00781,SUP011,ITM12272,11/9/24,11/15/24,11/17/24,156,142.48,22226.88,Delivered
PO00782,SUP007,ITM12197,3/13/24,3/21/24,3/19/24,293,73.91,21655.63,Delivered
PO00783,SUP001,ITM10154,6/12/24,6/16/24,6/14/24,891,68.56,61086.96,Delivered
PO00784,SUP006,ITM11257,11/23/24,11/28/24,11/28/24,507,8.12,4116.84,Delivered
PO00785,SUP010,ITM12202,4/17/24,4/22/24,4/20/24,408,113.4,46267.2,Delivered
PO00786,SUP009,ITM13079,2/25/24,2/27/24,2/25/24,445,51.74,23024.3,Delivered
PO00787,SUP014,ITM10718,8/2/24,8/9/24,8/19/24,554,47.64,26392.56,Delayed
PO00788,SUP001,ITM12585,6/28/24,7/2/24,6/30/24,898,42.03,37742.94,Delivered
PO00789,SUP013,ITM11346,10/22/24,10/31/24,11/3/24,280,75.92,21257.6,Delivered
PO00790,SUP007,ITM10248,2/7/24,2/15/24,,84,59.72,5016.48,Open
PO00791,SUP014,ITM13161,6/12/24,6/16/24,6/14/24,125,133.1,16637.5,Delivered
PO00792,SUP012,ITM11536,7/11/24,7/20/24,7/18/24,610,131.65,80306.5,Delivered
PO00793,SUP009,ITM11968,2/17/24,2/21/24,2/23/24,964,120.79,116441.56,Delivered
PO00794,SUP010,ITM10534,1/16/24,1/20/24,1/23/24,218,136.59,29776.62,Delivered
PO00795,SUP006,ITM11897,8/10/24,8/17/24,8/15/24,389,121.48,47255.72,Delivered
PO00796,SUP002,ITM10943,4/7/24,4/9/24,4/11/24,789,87.4,68958.6,Delivered
PO00797,SUP012,ITM10983,10/3/24,10/11/24,10/11/24,354,76.45,27063.3,Delivered
PO00798,SUP013,ITM13155,1/26/24,2/4/24,2/6/24,910,16.04,14596.4,Delivered
PO00799,SUP014,ITM10938,1/28/24,2/3/24,2/4/24,139,19.22,2671.58,Delivered
PO00800,SUP006,ITM12102,12/4/24,12/9/24,12/10/24,254,17.03,4325.62,Delivered
PO00801,SUP014,ITM13035,4/15/24,4/21/24,4/21/24,133,29.3,3896.9,Delivered
PO00802,SUP002,ITM10389,2/29/24,3/6/24,3/7/24,532,67,35644,Delivered
PO00803,SUP007,ITM12449,12/4/24,12/10/24,12/13/24,607,59.18,35922.26,Delivered
PO00804,SUP014,ITM11771,7/8/24,7/15/24,7/24/24,241,124.1,29908.1,Delayed
PO00805,SUP009,ITM10759,5/14/24,5/21/24,5/21/24,281,146.12,41059.72,Delivered
PO00806,SUP002,ITM10991,10/15/24,10/21/24,10/24/24,733,87.24,63946.92,Delivered
PO00807,SUP001,ITM11608,12/8/24,12/10/24,12/12/24,473,126.34,59758.82,Delivered
PO00808,SUP001,ITM12097,10/28/24,10/30/24,10/28/24,910,74.88,68140.8,Delivered
PO00809,SUP006,ITM11095,9/24/24,9/29/24,10/1/24,753,61.68,46445.04,Delivered
PO00810,SUP007,ITM13105,8/31/24,9/6/24,9/5/24,537,27.73,14891.01,Delivered
PO00811,SUP003,ITM10076,7/21/24,7/26/24,7/30/24,564,7.94,4478.16,Delayed
PO00812,SUP002,ITM11584,9/21/24,9/27/24,,743,47.17,35047.31,Open
PO00813,SUP010,ITM10717,3/16/24,3/18/24,3/19/24,227,31.47,7143.69,Delivered
PO00814,SUP014,ITM11483,3/26/24,4/1/24,,877,19.92,17469.84,Cancelled
PO00815,SUP003,ITM12472,1/22/24,1/25/24,1/28/24,495,117.76,58291.2,Delivered
PO00816,SUP007,ITM10437,11/17/24,11/24/24,11/26/24,314,14.38,4515.32,Delivered
PO00817,SUP003,ITM10228,2/4/24,2/7/24,2/9/24,456,87.7,39991.2,Delivered
PO00818,SUP009,ITM10064,5/21/24,5/26/24,5/24/24,855,80.45,68784.75,Delivered
PO00819,SUP001,ITM12307,10/27/24,10/29/24,10/30/24,165,81.06,13374.9,Delivered
PO00820,SUP009,ITM12016,3/16/24,3/25/24,3/27/24,826,126.74,104687.24,Delivered
PO00821,SUP001,ITM10188,2/21/24,2/28/24,3/12/24,848,42.3,35870.4,Delayed
PO00822,SUP013,ITM10470,5/26/24,6/4/24,,951,85.44,81253.44,Open
PO00823,SUP001,ITM12322,7/29/24,8/7/24,8/10/24,547,100.65,55055.55,Delivered
PO00824,SUP013,ITM10744,8/30/24,9/8/24,9/8/24,462,17.2,7946.4,Delivered
PO00825,SUP010,ITM11972,11/7/24,11/9/24,11/10/24,89,85.08,7572.12,Delivered
PO00826,SUP006,ITM12645,6/18/24,6/23/24,6/21/24,813,39.58,32178.54,Delivered
PO00827,SUP011,ITM10427,5/17/24,5/25/24,5/29/24,395,31.71,12525.45,Delayed
PO00828,SUP009,ITM10064,6/4/24,6/9/24,6/10/24,928,80.36,74574.08,Delivered
PO00829,SUP004,ITM12486,2/20/24,2/22/24,,283,82.22,23268.26,Cancelled
PO00830,SUP013,ITM10215,8/14/24,8/20/24,,378,66.89,25284.42,Open
PO00831,SUP006,ITM10026,8/1/24,8/3/24,8/1/24,242,44.53,10776.26,Delivered
PO00832,SUP002,ITM10943,7/27/24,7/29/24,7/31/24,938,75.12,70462.56,Delivered
PO00833,SUP010,ITM10794,1/29/24,2/1/24,1/31/24,117,131.61,15398.37,Delivered
PO00834,SUP008,ITM11501,9/16/24,9/19/24,9/21/24,950,54.84,52098,Delivered
PO00835,SUP013,ITM11453,3/29/24,4/5/24,4/4/24,907,12.44,11283.08,Delivered
PO00836,SUP012,ITM12805,1/17/24,1/19/24,1/19/24,771,79.94,61633.74,Delivered
PO00837,SUP014,ITM12983,7/7/24,7/10/24,,567,90.94,51562.98,Open
PO00838,SUP012,ITM11258,3/4/24,3/11/24,3/10/24,431,98.77,42569.87,Delivered
PO00839,SUP004,ITM12410,8/16/24,8/25/24,8/26/24,650,30.92,20098,Delivered
PO00840,SUP015,ITM12354,6/25/24,7/1/24,7/1/24,816,110.04,89792.64,Delivered
PO00841,SUP013,ITM10273,2/16/24,2/21/24,2/22/24,100,47.14,4714,Delivered
PO00842,SUP006,ITM11111,10/19/24,10/22/24,,269,138.04,37132.76,Open
PO00843,SUP004,ITM10239,11/27/24,11/29/24,11/28/24,325,50.35,16363.75,Delivered
PO00844,SUP001,ITM12691,9/19/24,9/22/24,9/25/24,59,45.46,2682.14,Delivered
PO00845,SUP004,ITM11805,3/8/24,3/15/24,3/17/24,870,113.82,99023.4,Delivered
PO00846,SUP011,ITM12459,5/9/24,5/18/24,5/18/24,779,45.71,35608.09,Delivered
PO00847,SUP015,ITM13146,11/25/24,12/4/24,12/5/24,922,93.09,85828.98,Delivered
PO00848,SUP009,ITM10028,5/9/24,5/12/24,5/12/24,743,117.6,87376.8,Delivered
PO00849,SUP010,ITM13133,11/15/24,11/23/24,11/21/24,57,15.18,865.26,Delivered
PO00850,SUP003,ITM12139,12/5/24,12/11/24,12/20/24,624,121.57,75859.68,Delayed
PO00851,SUP001,ITM12876,11/7/24,11/16/24,11/19/24,160,119.86,19177.6,Delivered
PO00852,SUP002,ITM12290,6/21/24,6/29/24,,705,49.88,35165.4,Cancelled
PO00853,SUP012,ITM10711,5/21/24,5/26/24,5/29/24,963,125.46,120817.98,Delivered
PO00854,SUP012,ITM11694,4/6/24,4/12/24,4/11/24,971,18.66,18118.86,Delivered
PO00855,SUP009,ITM10426,11/3/24,11/7/24,11/7/24,747,9.59,7163.73,Delivered
PO00856,SUP012,ITM10555,1/14/24,1/17/24,1/17/24,315,154.42,48642.3,Delivered
PO00857,SUP015,ITM12398,7/26/24,7/30/24,7/28/24,647,107.24,69384.28,Delivered
PO00858,SUP010,ITM10340,10/19/24,10/28/24,,401,52.25,20952.25,Open
PO00859,SUP008,ITM12553,4/23/24,4/28/24,5/1/24,853,21.91,18689.23,Delivered
PO00860,SUP004,ITM10177,12/9/24,12/15/24,12/15/24,915,121.25,110943.75,Delivered
PO00861,SUP009,ITM10994,12/2/24,12/8/24,12/14/24,350,111.01,38853.5,Delayed
PO00862,SUP003,ITM10490,3/6/24,3/8/24,3/11/24,877,64.13,56242.01,Delivered
PO00863,SUP006,ITM10533,4/3/24,4/11/24,4/20/24,720,38.47,27698.4,Delayed
PO00864,SUP004,ITM11898,6/30/24,7/2/24,7/2/24,480,98.88,47462.4,Delivered
PO00865,SUP014,ITM12442,6/18/24,6/24/24,6/26/24,351,119.82,42056.82,Delivered
PO00866,SUP009,ITM12363,3/1/24,3/7/24,3/10/24,647,23.73,15353.31,Delivered
PO00867,SUP006,ITM10515,11/13/24,11/22/24,11/21/24,562,50.23,28229.26,Delivered
PO00868,SUP007,ITM11632,12/14/24,12/21/24,12/21/24,473,74.37,35177.01,Delivered
PO00869,SUP009,ITM12083,3/18/24,3/25/24,3/24/24,400,73.88,29552,Delivered
PO00870,SUP015,ITM12683,10/18/24,10/21/24,11/1/24,196,54.19,10621.24,Delayed
PO00871,SUP002,ITM11127,4/2/24,4/6/24,,549,31.02,17029.98,Open
PO00872,SUP006,ITM11883,3/31/24,4/6/24,4/4/24,54,53.22,2873.88,Delivered
PO00873,SUP013,ITM12927,4/17/24,4/25/24,,222,35.04,7778.88,Open
PO00874,SUP001,ITM10317,3/22/24,3/28/24,3/26/24,182,122.39,22274.98,Delivered
PO00875,SUP012,ITM10260,11/20/24,11/23/24,11/24/24,538,23.74,12772.12,Delivered
PO00876,SUP006,ITM11862,1/20/24,1/29/24,2/1/24,432,147.53,63732.96,Delivered
PO00877,SUP012,ITM11696,6/13/24,6/18/24,,593,78.11,46319.23,Open
PO00878,SUP011,ITM10233,12/12/24,12/21/24,12/24/24,304,111.77,33978.08,Delivered
PO00879,SUP001,ITM10852,6/25/24,7/4/24,7/2/24,442,127.17,56209.14,Delivered
PO00880,SUP014,ITM10927,6/5/24,6/11/24,6/9/24,355,100.43,35652.65,Delivered
PO00881,SUP003,ITM11858,8/21/24,8/26/24,8/28/24,586,105.15,61617.9,Delivered
PO00882,SUP005,ITM11606,12/17/24,12/22/24,,400,152.52,61008,Cancelled
PO00883,SUP015,ITM11821,9/7/24,9/16/24,9/15/24,218,93.62,20409.16,Delivered
PO00884,SUP015,ITM13146,7/25/24,8/3/24,8/2/24,794,110.77,87951.38,Delivered
PO00885,SUP004,ITM10497,4/18/24,4/25/24,4/27/24,566,68.92,39008.72,Delivered
PO00886,SUP001,ITM10193,7/6/24,7/12/24,7/10/24,434,48.17,20905.78,Delivered
PO00887,SUP010,ITM10466,5/10/24,5/19/24,,688,114.99,79113.12,Open
PO00888,SUP003,ITM10228,1/25/24,1/28/24,1/31/24,906,74.56,67551.36,Delivered
PO00889,SUP010,ITM12054,12/19/24,12/28/24,12/29/24,439,12.03,5281.17,Delivered
PO00890,SUP011,ITM10408,5/9/24,5/11/24,5/10/24,260,109.06,28355.6,Delivered
PO00891,SUP015,ITM10786,11/18/24,11/24/24,11/25/24,727,48.67,35383.09,Delivered
PO00892,SUP003,ITM10433,9/23/24,9/25/24,9/27/24,767,83.1,63737.7,Delivered
PO00893,SUP014,ITM12498,2/23/24,2/25/24,2/27/24,170,43.15,7335.5,Delivered
PO00894,SUP001,ITM10932,2/24/24,3/2/24,3/4/24,254,132.5,33655,Delivered
PO00895,SUP009,ITM11075,9/24/24,10/3/24,,416,53.59,22293.44,Cancelled
PO00896,SUP004,ITM10042,5/31/24,6/2/24,6/4/24,558,30.8,17186.4,Delivered
PO00897,SUP014,ITM10345,12/18/24,12/25/24,1/3/25,290,118.75,34437.5,Delayed
PO00898,SUP009,ITM10994,12/9/24,12/15/24,12/13/24,905,128.09,115921.45,Delivered
PO00899,SUP015,ITM13153,9/9/24,9/12/24,9/10/24,848,38.59,32724.32,Delivered
PO00900,SUP013,ITM11556,2/21/24,2/29/24,3/14/24,286,77.07,22042.02,Delayed
PO00901,SUP006,ITM10971,5/31/24,6/5/24,6/3/24,152,134.99,20518.48,Delivered
PO00902,SUP004,ITM13113,1/21/24,1/27/24,,418,126.35,52814.3,Open
PO00903,SUP011,ITM12612,6/9/24,6/16/24,6/14/24,147,104.24,15323.28,Delivered
PO00904,SUP012,ITM11874,1/24/24,1/30/24,1/29/24,729,133.82,97554.78,Delivered
PO00905,SUP003,ITM10101,6/17/24,6/22/24,6/23/24,686,35.45,24318.7,Delivered
PO00906,SUP013,ITM10013,2/17/24,2/22/24,2/22/24,237,96.07,22768.59,Delivered
PO00907,SUP013,ITM10037,7/23/24,7/28/24,8/5/24,905,83,75115,Delayed
PO00908,SUP001,ITM12812,9/1/24,9/8/24,,714,80.08,57177.12,Open
PO00909,SUP011,ITM10139,3/26/24,3/30/24,4/2/24,793,10.01,7937.93,Delivered
PO00910,SUP001,ITM10773,3/22/24,3/30/24,4/1/24,544,62.39,33940.16,Delivered
PO00911,SUP010,ITM13166,12/13/24,12/22/24,12/24/24,438,46.93,20555.34,Delivered
PO00912,SUP015,ITM11960,11/9/24,11/13/24,11/16/24,951,55.04,52343.04,Delivered
PO00913,SUP007,ITM11358,3/7/24,3/14/24,3/15/24,165,72.08,11893.2,Delivered
PO00914,SUP015,ITM12295,8/13/24,8/16/24,8/16/24,720,109.12,78566.4,Delivered
PO00915,SUP002,ITM12451,12/26/24,12/28/24,,587,50.09,29402.83,Open
PO00916,SUP009,ITM11075,10/22/24,10/31/24,10/30/24,735,56.04,41189.4,Delivered
PO00917,SUP007,ITM11599,9/22/24,9/24/24,9/27/24,683,71.38,48752.54,Delivered
PO00918,SUP005,ITM11035,12/4/24,12/9/24,12/10/24,404,52.15,21068.6,Delivered
PO00919,SUP014,ITM10174,11/24/24,11/30/24,12/2/24,963,143.93,138604.59,Delivered
PO00920,SUP014,ITM10938,1/28/24,2/3/24,2/2/24,567,22.45,12729.15,Delivered
PO00921,SUP013,ITM11768,9/10/24,9/15/24,,126,109.42,13786.92,Open
PO00922,SUP004,ITM10394,6/13/24,6/17/24,6/17/24,101,51,5151,Delivered
PO00923,SUP001,ITM11700,10/8/24,10/10/24,10/11/24,886,38.61,34208.46,Delivered
PO00924,SUP014,ITM10600,8/23/24,9/1/24,9/3/24,508,35.52,18044.16,Delivered
PO00925,SUP009,ITM10027,9/12/24,9/17/24,9/15/24,559,96.16,53753.44,Delivered
PO00926,SUP003,ITM12209,1/10/24,1/16/24,1/17/24,86,74.82,6434.52,Delivered
PO00927,SUP002,ITM12137,1/1/24,1/9/24,,860,108.56,93361.6,Open
